Accession,loading_PC2,in_top15_diff_P_RM_R1,in_top15_diff_F1_PIN_R1
A0A3Q7FBU5,0.07956057664305491,False,False
A0A3Q7JDP0,0.07955021941145594,False,False
P25469,0.0795500475384693,False,False
A0A3Q7I6V9,0.07955001838504938,False,False
A0A3Q7IF15,0.07954995355697163,False,False
A0A3Q7IHL0,0.07954994360900686,False,False
A0A3Q7IBT3,0.0795497574828349,False,False
A0A3Q7FTM5,0.07954970354834212,False,False
A0A3Q7HA43,0.07954967640074057,False,False
A0A3Q7JDN9,0.07950466560278106,False,False
A4ZYQ6,0.07823402043451044,False,False
A0A3Q7JW47,0.07800874989504566,False,False
A0A3Q7HDI6,0.07800229241464005,False,False
A0A3Q7JGF7,0.07783363051840787,False,False
A0A3Q7GTM3,0.07725816119548017,False,False
