Accession,F1_PIN_R1,F1_PIN_R2,F1_PIN_R3,diff_vs_other_mean,abs_diff,matrix_p99,over_p99,in_top15_loadings_PC1,in_top15_loadings_PC2
A0A3Q7IWI5,0.0,6.02668,12.05335,-9.040015,9.040015,1.8212571999999976,False,False,False
A0A3Q7I4W4,0.15261,2.76239,5.37217,-3.91467,3.91467,1.8212571999999976,False,False,False
A0A3Q7I7H2,0.0,2.45436,4.90872,-3.68154,3.68154,1.8212571999999976,False,False,False
A0A3Q7FZ65,1.7261,4.08423,6.44236,-3.5371949999999996,3.5371949999999996,1.8212571999999976,False,False,False
A0A3Q7GV32,0.0,1.91219,3.82438,-2.868285,2.868285,1.8212571999999976,False,False,False
A0A3Q7IYK0,2.75504,1.37752,0.0,2.06628,2.06628,1.8212571999999976,True,False,False
P29000,2.32612,1.16306,0.0,1.74459,1.74459,1.8212571999999976,True,False,False
A0A3Q7FNF0,0.0,1.05957,2.11915,-1.5893599999999999,1.5893599999999999,1.8212571999999976,False,False,False
A0A3Q7EUT1,3.19581,2.18872,1.18163,1.5106349999999997,1.5106349999999997,1.8212571999999976,True,False,False
A0A3Q7I6G7,0.0,0.99324,1.98648,-1.48986,1.48986,1.8212571999999976,False,False,False
A0A3Q7F3S0,0.54693,1.29412,2.04132,-1.12079,1.12079,1.8212571999999976,False,False,False
A0A3Q7ILY0,0.0,0.72791,1.45581,-1.09186,1.09186,1.8212571999999976,False,False,False
A0A3Q7INZ6,1.41282,0.70641,0.0,1.059615,1.059615,1.8212571999999976,False,False,False
A0A3Q7HVV0,1.2569,0.62845,0.0,0.9426749999999999,0.9426749999999999,1.8212571999999976,False,False,False
A0A3Q7JAQ4,1.22941,0.6147,0.0,0.9220599999999999,0.9220599999999999,1.8212571999999976,False,False,False
