Accession,P_RM_R1,P_RM_R2,P_RM_R3,diff_vs_other_mean,abs_diff,matrix_p99,over_p99,in_top15_loadings_PC1,in_top15_loadings_PC2
A0A3Q7FB67,0.0,0.83506,17.26511,-9.050085,9.050085,1.8212571999999976,False,False,False
A0A3Q7EGK8,0.71335,4.97064,13.92878,-8.73636,8.73636,1.8212571999999976,False,False,False
Q9AXQ3,0.15079,1.02063,13.076,-6.897525000000001,6.897525000000001,1.8212571999999976,False,False,False
A0A3Q7IWI5,0.0,7.12183,4.1891,-5.6554649999999995,5.6554649999999995,1.8212571999999976,False,False,False
P54153,0.4517,1.04604,10.48773,-5.3151850000000005,5.3151850000000005,1.8212571999999976,False,False,False
A0A3Q7FZ65,5.228,0.0,0.0,5.228,5.228,1.8212571999999976,True,False,False
Q9XEX8,0.09588,1.09133,9.33572,-5.1176449999999996,5.1176449999999996,1.8212571999999976,False,False,False
A0A3Q7I767,7.88747,2.11694,4.09934,4.779330000000001,4.779330000000001,1.8212571999999976,True,False,False
Q9AXQ5,0.1006,0.7235,7.77977,-4.151035,4.151035,1.8212571999999976,False,False,False
A0A3Q7EJL3,0.0,0.14304,6.17893,-3.160985,3.160985,1.8212571999999976,False,False,False
A0A3Q7I4W4,0.0,3.08124,2.24416,-2.6627,2.6627,1.8212571999999976,False,False,False
A0A3Q7J1A3,0.0,4.97064,0.0,-2.48532,2.48532,1.8212571999999976,False,False,False
A0A3Q7EQ90,0.05985,0.28719,3.48593,-1.82671,1.82671,1.8212571999999976,False,False,False
P29000,2.10738,0.83506,0.0,1.68985,1.68985,1.8212571999999976,True,False,False
A0A3Q7GV32,0.0,3.21048,0.0,-1.60524,1.60524,1.8212571999999976,False,False,False
