muestra,genotipo,etapa,abundancia_total,proteinas_detectadas
F1_RM_R1,F1,RM,99.99998000000001,4
P_VM_R2,P,VM,99.99996999999999,5
C_PIN_R2,C,PIN,99.99996000000002,10
C_PIN_R1,C,PIN,99.99995999999999,10
P_RM_R3,P,RM,99.99993,15
F1_RM_R3,F1,RM,99.99992,15
F1_RM_R2,F1,RM,99.99992,15
C_RM_R2,C,RM,99.99991,21
P_VM_R3,P,VM,99.99991,16
P_PIN_R3,P,PIN,99.99985,28
P_VM_R1,P,VM,99.99978999999999,40
C_RM_R3,C,RM,99.9997,50
C_PIN_R3,C,PIN,99.99950999999999,88
F1_PIN_R3,F1,PIN,99.99949,107
F1_VM_R1,F1,VM,99.99941,138
F1_VM_R3,F1,VM,99.99941,138
F1_VM_R2,F1,VM,99.99941,138
C_VM_R1,C,VM,99.99927000000001,139
P_PIN_R2,P,PIN,99.99916,176
C_VM_R2,C,VM,99.99914000000001,171
C_VM_R3,C,VM,99.99914000000001,171
P_RM_R2,P,RM,99.99892,211
C_RM_R1,C,RM,99.99886000000001,279
F1_PIN_R2,F1,PIN,99.99884,379
F1_PIN_R1,F1,PIN,99.99816,356
P_PIN_R1,P,PIN,99.99762999999999,494
P_RM_R1,P,RM,99.9967,697
