sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
C_VM_R1,-5.45323040668933,-1.0674472991058856,-2.484288761906635,-3.344223027033283,7.142614732258332,2.3139544520482938,-9.923782615855083,28.785160842804036,-4.053242177665786,-3.26335415092105,-2.0799856478495924,0.13618964302253844,-0.7315415929773225,0.34956580292733125,-0.22259240984494116,-0.24267960288338844,0.302932223692121,0.020503654890883554,0.00019881532362738783,-0.023528048374602078,0.015018549828416574,8.555429418143338e-10,1.4834994793906143e-15,-3.434080627186291e-15,-3.5099341276741104e-17,-4.030251431198258e-18,-5.0662045969876936e-17
C_VM_R2,-5.020125518803782,-2.4830996865096275,-0.4846746341906662,-4.648382055937346,13.841828032856728,10.530867099175435,-13.419372076515796,-9.308221129723691,-1.8727004565410894,-0.6756566665093079,0.5017532348144583,-0.5110127533246452,-0.5707455568122202,-0.09999142075266114,0.03371440396182983,-0.0014184606029765962,-0.006457577933936991,0.006433942800160293,-0.008682283188322313,-0.00721037683010699,-0.016005013807867195,-1.0823570633622294e-09,-1.7567231665719624e-14,-7.027670682699528e-15,1.4564939208035755e-16,-1.0497256881811577e-16,-3.195459887433132e-16
C_VM_R3,-5.0201255188037806,-2.483099686509619,-0.48467463419065265,-4.648382055937344,13.841828032856714,10.530867099175426,-13.419372076515783,-9.30822112972368,-1.8727004565410885,-0.6756566665093094,0.5017532348144563,-0.5110127533246415,-0.5707455568122206,-0.09999142075265711,0.03371440396182953,-0.0014184606029724487,-0.0064575779339339275,0.006433942800157821,-0.008682283188320221,-0.007210376830108223,-0.016005013807869405,-1.0823570690218214e-09,2.0534230624500894e-14,1.5950942832694283e-16,-2.1584807463384042e-16,9.691206595571999e-17,2.1822189680356004e-16
C_PIN_R1,-5.675543834511101,-5.272379585319092,-0.1780652289036626,-1.3760016523351426,-6.574054959219308,-3.0402498772881357,-1.1546846788259852,-1.6646501979624992,-1.604591171312046,-1.471583122680024,-0.9556952980883839,-1.9826700750893895,-0.24275084227647678,-0.15780712634207536,-2.256745874356727,-4.202412854473006,-0.30141232685441155,3.7569875084967834,-0.07119313783906002,6.516159156586829,-2.0317816553288557,-8.226705097057126e-10,1.4834994793906214e-15,-3.434080627186283e-15,-3.509934127674213e-17,-4.030251431198208e-18,-5.066204596987512e-17
C_PIN_R2,-5.694949392569273,-5.3578294969248015,-0.20073133456415554,-1.3412198145727956,-6.574520652276267,-3.2368319641825636,-1.0811155302831068,-1.679825190502676,-1.6584532373568963,-1.4759864702193468,-1.1015281470797833,-2.090479110123387,-1.0387613965526252,-0.41111468233696524,-2.2503589706416376,-3.237383758762441,-2.863380112155593,6.528828377279932,3.25597952503683,-4.675854405602579,0.018166531361442036,3.3849317516982504e-11,1.4834994793906241e-15,-3.4340806271863007e-15,-3.5099341276741585e-17,-4.0302514311997125e-18,-5.066204596987665e-17
C_PIN_R3,-5.251898518909201,-3.5563866908956974,-0.8896872695678053,-0.861138645608166,-2.310514714590737,-0.46292089941604514,-0.624706143284448,4.078974626285454,4.533117583186884,7.265584516775338,19.254461125610803,-3.3990495002906065,-0.48786596432984525,-1.1403874469689539,-0.12266290771704359,0.10911937588248029,-0.26485662910838437,-0.0856772220501483,0.03995341981701362,0.006093530282946816,-0.006654603524593761,-2.632310999537671e-09,1.4834994793906233e-15,-3.434080627186291e-15,-3.509934127674145e-17,-4.0302514311989806e-18,-5.066204596987699e-17
C_RM_R1,5.854933768533469,7.113273014252869,-2.2108928608995635,44.28380647977488,3.123783525298623,-4.128677993704541,-6.2559308970501455,-0.6402985915505116,1.4078155512467387,0.36772260029883724,-0.5664452796957394,-0.35050729499004535,0.18681031718490979,-0.018851773224536343,0.02164754314459507,0.03638491011495073,-0.009235134472697923,0.01675633009875086,-0.0054817027891511955,0.00563773779189365,-0.004570378359170429,-4.652702277083848e-09,1.4834994793906216e-15,-3.4340806271862947e-15,-3.509934127674121e-17,-4.030251431198435e-18,-5.066204596987683e-17
C_RM_R2,-5.620093693385681,-4.952672494137902,-0.3734136062802357,-1.2450986527753602,-6.5768373755735965,-3.157804259142517,-0.6449729329939892,-1.866223848885826,-1.7101399195444007,-1.7044934650293635,-1.234800987126784,-1.7635968337872052,-2.4668738742389773,-3.9534735491951136,-3.7350587524519367,5.7720979273335695,9.394705443503081,0.4970634045150754,1.5797123363354504,-0.322475914973943,-0.43870351434527205,-6.064397174275312e-10,1.483499479390611e-15,-3.4340806271862825e-15,-3.50993412767418e-17,-4.030251431194661e-18,-5.0662045969877355e-17
C_RM_R3,-5.280857583729349,-4.733748142557874,-0.7052896480807415,-0.16724702217873555,-3.9112589250577434,-1.9054373559797788,-0.389417876295267,-1.3581963071841463,-1.0828423767087891,0.35013319153736444,2.7020346057833136,18.647610288168845,-4.028337632810766,1.6072744699333734,-0.8058535282307704,-0.0029298575304363113,-0.14277038478815823,0.15631377139809702,0.00611671474349776,0.04650377346044261,-0.09631853458283036,-1.3044409290636707e-09,1.483499479390628e-15,-3.4340806271862947e-15,-3.509934127674124e-17,-4.030251431199323e-18,-5.0662045969877115e-17
P_VM_R1,-5.771279276240853,-5.032949599805194,-0.6330585025400511,-1.8615707514420747,-2.436094002711405,-1.4934209317847704,-1.3660764703313693,-0.46834033457945246,-0.7855381702258839,-0.5247447920537389,0.5078757227901491,3.460009904114341,15.4310018457802,0.4343480341567742,-1.9735210499892728,0.20543169664382685,1.1538737182286807,0.004653309747722448,-0.9474067089259955,-0.6303658388266281,-0.1232021464952768,-6.890857587841344e-11,1.4834994793906259e-15,-3.434080627186294e-15,-3.509934127674156e-17,-4.030251431197462e-18,-5.0662045969876794e-17
