component,variance_explained_pct
PC1,31.8240045382519
PC2,15.056293606853762
PC3,11.143469720096595
PC4,8.412189723091275
PC5,6.225727121731945
PC6,4.704147964446697
PC7,4.499480992818454
PC8,4.029799700918256
PC9,3.1047921865197754
PC10,2.329053611837625
PC11,1.7877882489173844
PC12,1.5615577595116517
PC13,1.0418409870881256
PC14,0.8395403973433484
PC15,0.7534605264971859
PC16,0.6751307127047362
PC17,0.6549139309827009
PC18,0.4562847415912937
PC19,0.4005571615888324
PC20,0.2784460317378143
PC21,0.22152031794740087
PC22,1.7523237749540362e-08
PC23,2.997628383355045e-30
PC24,1.3130961910786982e-30
PC25,2.571552621884882e-31
PC26,2.571552621884882e-31
PC27,2.571552621884882e-31
