sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
C_VM_R1,-3.2742865399073633,-4.576689588731814,5.075863000292424,2.0959484598605163,4.020227179814095,1.1557287536959604,26.987795352092594,6.72422642910563,-2.5942509056141865,-1.7418800112910982,-2.304140549135448,-0.028345110396408985,-0.932710932539974,0.4943341107833133,-0.2461598453212581,-0.4478688213446223,0.21268455463388888,0.032118385199671265,0.011369066225294098,-0.030581957036215517,0.01664453743500771,1.1964706716085507e-09,-2.0274703159003496e-15,-3.3271252815672796e-16,-3.1643311614265986e-17,-6.865256587870758e-18,-3.511219273387318e-17
C_VM_R2,-4.324484004042022,-2.706391928833479,14.882334169654058,2.9829417924451596,17.540261879852185,-4.661998806826328,-5.188728030195514,0.9032319853214632,-0.10675269177320973,0.319801177352875,0.4089047890912764,-0.5348299922081691,-0.5229784316437373,-0.11020038312809634,0.03145600905090463,0.010793831480033123,0.0011245720297075295,0.006174009533005222,-0.007138065975423977,-0.00606622387481117,-0.015339785724677224,-1.0805009291218718e-09,-2.42655733131062e-16,-3.934099818676027e-15,-1.8588865109708663e-16,-6.344325292550598e-16,-2.2846836521833978e-15
C_VM_R3,-4.324484004042012,-2.7063919288334817,14.88233416965406,2.982941792445154,17.540261879852178,-4.661998806826326,-5.188728030195513,0.9032319853214581,-0.10675269177320933,0.3198011773528775,0.4089047890912779,-0.5348299922081663,-0.5229784316437371,-0.1102003831280938,0.0314560090509062,0.010793831480035893,0.0011245720297086129,0.00617400953300326,-0.007138065975421968,-0.006066223874812165,-0.015339785724677268,-1.0805002350322268e-09,-3.8122848986696385e-15,3.26867476236257e-15,1.2260202786855452e-16,6.207020160793183e-16,2.214459266715651e-15
C_PIN_R1,-7.017846278126556,-1.3018769590022816,-5.129597580827877,-4.166550322552799,-1.2450846463065095,-3.2272418793748123,-1.4871837316579404,1.2540900963686028,-0.7064086317107152,-0.8832282617883496,-0.48693332848777054,-1.974836550712431,-0.17144436771085475,-0.3371943582340181,-2.6405787119371884,-3.586703154704356,-1.6292972161462032,3.7168858960626774,-0.0663194200244112,6.533940935488348,-1.9860985157684932,-7.659735157628263e-10,-2.027470315900352e-15,-3.327125281567279e-16,-3.1643311614265216e-17,-6.865256587870566e-18,-3.5112192733873215e-17
C_PIN_R2,-7.099969923486979,-1.2908935057135105,-5.1785281782077845,-4.097454566882139,-1.424991415141562,-3.343478459801787,-1.5128320677277374,1.2820694432017115,-0.6635017191633682,-1.002630273476943,-0.5863881329192556,-2.1233305222120786,-0.99315904269194,-0.6720084549949645,-2.840777538194022,-1.6337881511223775,-3.925462878864066,6.346544998471725,3.0974534434712386,-4.673079671908404,0.0023724030623824533,2.396741964670777e-11,-2.0274703159003515e-15,-3.3271252815672826e-16,-3.1643311614265216e-17,-6.865256587871204e-18,-3.511219273387316e-17
C_PIN_R3,-5.193534731270663,-1.7753869278590337,-2.104430800994078,-1.0763961206574975,-0.1682631550933404,1.7139702164846125,5.399316226870784,-5.9707608801017,2.9122673353690836,11.915604236668893,14.791864242675429,-2.858780288150187,-0.3253221020860078,-1.2858545225474678,-0.1700635025780046,0.2751344173030659,-0.12882297547351018,-0.09836206341787385,0.03736213598929618,0.008520319679710793,-0.004664486352760284,-2.8201694340960726e-09,-2.0274703159003527e-15,-3.327125281567293e-16,-3.164331161426626e-17,-6.865256587871098e-18,-3.5112192733873536e-17
C_RM_R1,12.416970790364092,16.120814393191647,-18.45276358283967,27.78232607769006,6.824105937846066,-4.477283541740316,1.1962689709021985,-4.3311505296113015,-1.046697091600591,-4.616801138253137,1.9650701777682014,0.10545738966929642,0.3246009023301622,-0.012656271266188826,0.0033960862559291078,0.008584666875348741,0.008457839819239768,0.02189223273025679,0.002969667213295576,0.007428526481825048,0.004213803544043894,-7.459049232641081e-09,-2.0274703159003504e-15,-3.327125281567276e-16,-3.1643311614265616e-17,-6.865256587870175e-18,-3.5112192733872913e-17
C_RM_R2,-6.654048761217188,-1.4413189926003185,-5.168875372347493,-3.856170020481582,-1.5717484759001417,-2.930523731651274,-1.8250847102897854,1.3774700338819295,-0.7805718969869787,-0.9849691033287582,-0.6407624918595924,-1.5845538195150461,-1.9058254835737214,-2.599085941348317,-2.0718375178511543,1.2346479236224526,10.740862686826713,0.7886259898626238,2.334884482085574,-0.42843435910249855,-0.5595372492421803,-7.028671295341315e-10,-2.0274703159003507e-15,-3.3271252815672983e-16,-3.164331161426645e-17,-6.865256587871535e-18,-3.511219273387279e-17
C_RM_R3,-6.136312532527675,-0.9597169650678722,-3.719660274358517,-1.312456370052053,-0.6471833438884336,-1.6729143238751034,-1.1711654415754778,0.7323352694058524,0.8179873212057084,3.117028058353867,0.5488471441133786,17.658500670696714,-4.731587500630161,1.942513653234561,-0.8861402503354482,0.03931813616003671,-0.1670450048484322,0.16629806316057286,-0.007184257576902348,0.05286974839552077,-0.10002751312347934,-1.425079564642551e-09,-2.027470315900352e-15,-3.3271252815672885e-16,-3.164331161426597e-17,-6.865256587870348e-18,-3.5112192733873776e-17
P_VM_R1,-6.880888460489309,-1.8802309848489107,-1.5729170980288356,-1.9812575341130567,-0.11118803369051321,-1.9032234075685142,0.15813407221898135,0.7680535996377409,-0.28899181776674876,1.106229321083883,-0.3940036175462647,4.186156233254802,15.241268993660821,0.6033052803703335,-1.5686754205377307,-0.29527853363311907,0.971830572199302,0.0387388989887217,-0.9133976034818566,-0.6268795265475139,-0.12260431761151525,-2.250428682781044e-10,-2.0274703159003484e-15,-3.327125281567285e-16,-3.1643311614266713e-17,-6.865256587870854e-18,-3.5112192733873104e-17
