component,variance_explained_pct
PC1,25.36095900968848
PC2,13.22578389125512
PC3,10.447632728623725
PC4,8.67652945205981
PC5,6.405421174413382
PC6,6.172515037528044
PC7,4.35501057088681
PC8,3.5109366331972556
PC9,3.2580238617591464
PC10,2.8139796052058905
PC11,2.6717529510952978
PC12,2.24838949576749
PC13,1.8138600245796526
PC14,1.700217216885456
PC15,1.6387365120312227
PC16,1.4664946308280218
PC17,1.2674125422360145
PC18,1.0011440470765156
PC19,0.8707561012962294
PC20,0.6106355185000036
PC21,0.4838089770404947
PC22,1.8045948487847162e-08
PC23,8.653377069324308e-31
PC24,5.1058471876500365e-31
PC25,1.5865617447280374e-31
PC26,1.5865617447280374e-31
PC27,9.933929137261103e-32
